Age,Work class,Education,Level of education,Marital status,Occupation,Relationship,Race,Sex,Capital gain,Capital loss,Work hours per week,Native country,Annual income
29,Local-gov,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
48,Unincorporated self employment,Doctorate,16,Married civilian spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,>50K
37,Private,Some-college,10,Married civilian spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K
48,Private,Academic association,12,Divorced,Executive / managerial,Unmarried,White,Female,0,0,40,England,<=50K
32,Federal-gov,High school graduation,9,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K
76,Private,Masters,14,Married civilian spouse,Executive / managerial,Husband,White,Male,0,0,40,United-States,>50K
44,Private,Bachelors,13,Married civilian spouse,Executive / managerial,Husband,White,Male,15024,0,60,United-States,>50K
47,Unincorporated self employment,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K
20,Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
29,Private,High school graduation,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
32,Incorporated self employment,High school graduation,9,Married civilian spouse,Craft-repair,Husband,White,Male,7688,0,40,United-States,>50K
17,?,10th,6,Never-married,?,Own-child,White,Female,34095,0,32,United-States,<=50K
30,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
31,Local-gov,High school graduation,9,Never-married,Administrative / clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
42,Private,High school graduation,9,Married civilian spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,<=50K
38,Private,Professional school,15,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
56,Unincorporated self employment,High school graduation,9,Married civilian spouse,Other-service,Husband,White,Male,0,1887,50,Canada,>50K
28,Private,Some-college,10,Married civilian spouse,Sales,Wife,White,Female,4064,0,25,United-States,<=50K
36,Private,High school graduation,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
53,Private,9th,5,Married civilian spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K
56,Incorporated self employment,Some-college,10,Married civilian spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
49,Local-gov,Vocational association,11,Married civilian spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,>50K
55,Private,Some-college,10,Married civilian spouse,Sales,Husband,White,Male,0,0,56,United-States,<=50K
22,Private,High school graduation,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,41,United-States,<=50K
21,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
40,Private,Bachelors,13,Married civilian spouse,Executive / managerial,Husband,White,Male,0,0,60,United-States,<=50K
30,Private,Bachelors,13,Never-married,Executive / managerial,Own-child,Black,Male,0,0,40,Germany,<=50K
29,State-gov,Bachelors,13,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
19,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,35,United-States,<=50K
47,Private,Bachelors,13,Married civilian spouse,Executive / managerial,Wife,White,Female,0,0,40,United-States,>50K
20,Private,Some-college,10,Never-married,Administrative / clerical,Own-child,White,Female,0,1719,28,United-States,<=50K
31,Private,Academic association,12,Married civilian spouse,Administrative / clerical,Husband,White,Male,0,0,40,United-States,>50K
35,?,High school graduation,9,Married civilian spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
39,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
28,Private,Academic association,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K
24,Private,High school graduation,9,Never-married,Other-service,Not-in-family,White,Female,0,1762,40,United-States,<=50K
38,Unincorporated self employment,High school graduation,9,Married civilian spouse,Craft-repair,Husband,White,Male,4386,0,35,United-States,<=50K
37,Private,Bachelors,13,Married civilian spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
46,Private,Academic association,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,36,United-States,<=50K
38,Federal-gov,Masters,14,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,>50K
43,Unincorporated self employment,High school graduation,9,Married civilian spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K
27,Private,Vocational association,11,Married civilian spouse,Administrative / clerical,Wife,White,Female,0,0,35,United-States,<=50K
20,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
49,Private,Some-college,10,Married civilian spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
61,Incorporated self employment,High school graduation,9,Married civilian spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
27,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30,Mexico,<=50K
45,Private,Vocational association,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,40,United-States,>50K
70,Private,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,40,United-States,<=50K
31,Private,High school graduation,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,<=50K
22,Private,Some-college,10,Married civilian spouse,Other-service,Husband,White,Male,0,0,24,United-States,<=50K
36,Private,High school graduation,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,United-States,<=50K
64,Private,11th,7,Married civilian spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,<=50K
43,?,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
47,Local-gov,Some-college,10,Divorced,Administrative / clerical,Unmarried,White,Female,0,0,38,Mexico,<=50K
34,Private,High school graduation,9,Never-married,Administrative / clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
33,Private,Bachelors,13,Never-married,Executive / managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
21,Private,High school graduation,9,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K
52,?,High school graduation,9,Divorced,?,Not-in-family,White,Male,0,0,45,United-States,>50K
48,Private,High school graduation,9,Married civilian spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K
23,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
71,Unincorporated self employment,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,1816,2,United-States,<=50K
29,Private,High school graduation,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
42,Private,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,<=50K
68,?,1st-4th,2,Divorced,?,Not-in-family,White,Female,0,0,20,United-States,<=50K
25,Private,High school graduation,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
44,Incorporated self employment,Masters,14,Divorced,Executive / managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
28,Private,High school graduation,9,Never-married,Executive / managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,England,<=50K
45,Unincorporated self employment,Masters,14,Married civilian spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
36,Private,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,<=50K
39,Federal-gov,Academic association,12,Never-married,Executive / managerial,Not-in-family,White,Male,0,0,42,United-States,<=50K
46,State-gov,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States,<=50K
18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,<=50K
66,Local-gov,Vocational association,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,<=50K
27,Private,High school graduation,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States,<=50K
28,State-gov,High school graduation,9,Married civilian spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
51,Private,Some-college,10,Married civilian spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50K
27,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
28,State-gov,Bachelors,13,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
27,Private,High school graduation,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,25,United-States,<=50K
21,Private,High school graduation,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K
34,Private,High school graduation,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
18,Private,High school graduation,9,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
33,Private,Bachelors,13,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,<=50K
44,Local-gov,Some-college,10,Married civilian spouse,Executive / managerial,Husband,Black,Male,0,0,38,United-States,>50K
43,Private,Some-college,10,Divorced,Administrative / clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
30,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K
40,Private,7th-8th,4,Married civilian spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,>50K
37,Federal-gov,Some-college,10,Married civilian spouse,Administrative / clerical,Husband,White,Male,0,0,42,United-States,>50K
34,Private,High school graduation,9,Married civilian spouse,Administrative / clerical,Husband,Black,Male,0,0,40,United-States,<=50K
41,Unincorporated self employment,Bachelors,13,Divorced,Executive / managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
53,?,Bachelors,13,Divorced,?,Not-in-family,White,Female,0,0,50,United-States,<=50K
31,Private,Masters,14,Married civilian spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,<=50K
58,State-gov,Doctorate,16,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,>50K
38,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States,<=50K
24,Private,Some-college,10,Married civilian spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
41,Local-gov,Bachelors,13,Married civilian spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
47,Private,Some-college,10,Married civilian spouse,Tech-support,Husband,White,Male,0,0,45,United-States,<=50K
41,Federal-gov,Bachelors,13,Married civilian spouse,Tech-support,Husband,White,Male,0,0,24,United-States,<=50K
23,Private,5th-6th,3,Married civilian spouse,Transport-moving,Other-relative,White,Male,0,0,40,Mexico,<=50K
36,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
40,Federal-gov,Masters,14,Never-married,Executive / managerial,Not-in-family,White,Female,14084,0,55,United-States,>50K
35,Private,Masters,14,Married civilian spouse,Prof-specialty,Other-relative,White,Male,7298,0,40,United-States,>50K
24,Unincorporated self employment,High school graduation,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
26,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,<=50K
19,?,High school graduation,9,Never-married,?,Own-child,White,Male,0,0,40,Italy,<=50K
51,Private,Bachelors,13,Married civilian spouse,Executive / managerial,Husband,White,Male,0,0,50,United-States,>50K
42,Local-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1340,40,United-States,<=50K
37,State-gov,High school graduation,9,Divorced,Administrative / clerical,Unmarried,White,Female,0,0,35,United-States,<=50K
18,Private,11th,7,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
36,Private,Bachelors,13,Married civilian spouse,Other-service,Husband,Black,Male,7298,0,36,United-States,>50K
35,Private,High school graduation,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K
58,Incorporated self employment,High school graduation,9,Married civilian spouse,Sales,Wife,White,Female,15024,0,35,United-States,>50K
17,Private,11th,7,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,<=50K
44,Local-gov,High school graduation,9,Married civilian spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K
37,Private,High school graduation,9,Married civilian spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
35,Private,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
60,Private,High school graduation,9,Married civilian spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
54,Incorporated self employment,7th-8th,4,Married civilian spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
37,Private,Bachelors,13,Never-married,Executive / managerial,Not-in-family,Black,Male,0,0,60,United-States,>50K
50,Private,Academic association,12,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Private,Bachelors,13,Married civilian spouse,Sales,Husband,White,Male,0,0,50,Poland,<=50K
45,Private,Bachelors,13,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
25,Private,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
31,Private,Some-college,10,Married civilian spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
64,?,1st-4th,2,Divorced,?,Not-in-family,White,Male,0,0,40,United-States,<=50K
90,Private,High school graduation,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,40,United-States,<=50K
54,Private,High school graduation,9,Married civilian spouse,Administrative / clerical,Husband,Black,Male,0,0,20,United-States,<=50K
53,Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,35,United-States,<=50K
18,Private,High school graduation,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
60,?,10th,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States,<=50K
66,Unincorporated self employment,High school graduation,9,Married civilian spouse,Farming-fishing,Husband,White,Male,1409,0,50,United-States,<=50K
75,Private,Vocational association,11,Widowed,Administrative / clerical,Not-in-family,White,Female,0,0,20,Columbia,<=50K
65,Private,High school graduation,9,Divorced,Administrative / clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Private,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States,<=50K
41,Private,High school graduation,9,Divorced,Sales,Unmarried,Black,Female,0,0,38,United-States,<=50K
25,Private,Some-college,10,Never-married,Administrative / clerical,Not-in-family,White,Male,0,0,42,United-States,<=50K
33,Private,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,0,0,40,United-States,<=50K
28,Private,Professional school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,55,United-States,>50K
59,State-gov,High school graduation,9,Married civilian spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
40,State-gov,Some-college,10,Never-married,Administrative / clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K
41,Private,Bachelors,13,Married civilian spouse,Executive / managerial,Husband,White,Male,0,0,50,Iran,>50K
38,Local-gov,Masters,14,Married civilian spouse,Executive / managerial,Husband,White,Male,0,0,70,United-States,>50K
23,Private,High school graduation,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
40,Private,Bachelors,13,Married civilian spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
41,Unincorporated self employment,High school graduation,9,Married civilian spouse,Other-service,Wife,White,Female,0,0,20,United-States,<=50K
24,State-gov,Academic association,12,Married civilian spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,<=50K
20,?,Some-college,10,Never-married,?,Own-child,White,Male,0,0,20,United-States,<=50K
38,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,United-States,<=50K
56,Private,High school graduation,9,Married civilian spouse,Administrative / clerical,Husband,White,Male,0,0,35,?,<=50K
58,Private,High school graduation,9,Married civilian spouse,Administrative / clerical,Husband,White,Male,0,0,45,United-States,>50K
32,Private,High school graduation,9,Never-married,Other-service,Not-in-family,White,Female,0,0,34,United-States,<=50K
40,Private,Academic association,12,Married civilian spouse,Tech-support,Husband,White,Male,0,1977,60,United-States,>50K
45,Private,High school graduation,9,Married civilian spouse,Administrative / clerical,Husband,White,Male,0,0,40,?,<=50K
41,Private,Professional school,15,Married civilian spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K
42,Private,Bachelors,13,Married civilian spouse,Administrative / clerical,Wife,Black,Female,0,0,40,United-States,<=50K
59,Local-gov,10th,6,Widowed,Other-service,Unmarried,Black,Female,0,0,30,United-States,<=50K
19,Local-gov,Some-college,10,Never-married,Administrative / clerical,Own-child,White,Male,0,0,40,United-States,<=50K
58,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,20,United-States,<=50K
42,Unincorporated self employment,High school graduation,9,Married civilian spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Cambodia,>50K
20,Private,High school graduation,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
32,Private,High school graduation,9,Separated,Other-service,Not-in-family,White,Female,0,0,30,United-States,<=50K
45,Private,Vocational association,11,Widowed,Executive / managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
50,Private,7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
36,Private,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
